district_id,county_id,district_name,postcode
1,1,Carmen,10101
2,1,Merced,10102
3,1,Hospital,10103
4,1,Catedral,10104
5,1,Zapote,10105
6,1,San Francisco de Dos Ríos,10106
7,1,Uruca,10107
8,1,Mata Redonda,10108
9,1,Pavas,10109
10,1,Hatillo,10110
11,1,San Sebastián,10111
12,2,Escazú,10201
13,2,San Antonio,10202
14,2,San Rafael,10203
15,3,Desamparados,10301
16,3,San Miguel,10302
17,3,San Juan de Dios,10303
18,3,San Rafael Arriba,10304
19,3,San Antonio,10305
20,3,Frailes,10306
21,3,Patarrá,10307
22,3,San Cristóbal,10308
23,3,Rosario,10309
24,3,Damas,10310
25,3,San Rafael Abajo,10311
26,3,Gravilias,10312
27,3,Los Guido,10313
28,4,Santiago,10401
29,4,Mercedes Sur,10402
30,4,Barbacoas,10403
31,4,Grifo Alto,10404
32,4,San Rafael,10405
33,4,Candelarita,10406
34,4,Desamparaditos,10407
35,4,San Antonio,10408
36,4,Chires,10409
37,5,San Marcos,10501
38,5,San Lorenzo,10502
39,5,San Carlos,10503
40,6,Aserrí,10601
41,6,Tarbaca,10602
42,6,Vuelta de Jorco,10603
43,6,San Gabriel,10604
44,6,Legua,10605
45,6,Monterrey,10606
46,6,Salitrillos,10607
47,7,Colón,10701
48,7,Guayabo,10702
49,7,Tabarcia,10703
50,7,Piedras Negras,10704
51,7,Picagres,10705
52,7,Jaris,10706
53,7,Quitirrisí,10707
54,8,Guadalupe,10801
55,8,San Francisco,10802
56,8,Calle Blancos,10803
57,8,Mata de Plátano,10804
58,8,Ipís,10805
59,8,Rancho Redondo,10806
60,8,Purral,10807
61,9,Santa Ana,10901
62,9,Salitral,10902
63,9,Pozos,10903
64,9,Uruca,10904
65,9,Piedades,10905
66,9,Brasil,10906
67,10,Alajuelita,11001
68,10,San Josecito,11002
69,10,San Antonio,11003
70,10,Concepción,11004
71,10,San Felipe,11005
72,11,San Isidro,11101
73,11,San Rafael,11102
74,11,Dulce Nombre de Jesús,11103
75,11,Patalillo,11104
76,11,Cascajal,11105
77,12,San Ignacio,11201
78,12,Guaitil,11202
79,12,Palmichal,11203
80,12,Cangrejal,11204
81,12,Sabanillas,11205
82,13,San Juan,11301
83,13,Cinco Esquinas,11302
84,13,Anselmo Llorente,11303
85,13,León XIII,11304
86,13,Colima,11305
87,14,San Vicente,11401
88,14,San Jerónimo,11402
89,14,La Trinidad,11403
90,15,San Pedro,11501
91,15,Sabanilla,11502
92,15,Mercedes,11503
93,15,San Rafael,11504
94,16,San Pablo,11601
